STT,Tên doanh nghiệp,Địa chỉ,Tên sản phẩm,Mã hồ sơ,Nhóm sản phẩm,Ngày công bố,Ghi chú
36066,Công ty TNHH phân phối Quang Thành,"số 178 trần quang khải, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội","Cháo sữa ăn dặm Babydream vị lúa mạch, bích quy",20.09.100.22789,,1/10/2020,
36074,CÔNG TY CỔ PHẦN SẢN XUẤT - XUẤT NHẬP KHẨU DƯỢC LIỆU VÀ NĂNG LƯỢNG MỚI ARTEMIS VIỆT NAM,"số 8, ngõ 181 đường trần phú, Phường Văn Quán, Quận Hà Đông, Thành phố Hà Nội",Thực phẩm ARTEMIS F,20.09.100.22781,,6/10/2020,
36081,CÔNG TY CỔ PHẦN DP ECOLIFE,"Số 60 Liên Cơ, Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội",SEN CHỒI,20.09.100.22774,,30-09-2020,
36088,CÔNG TY TNHH CATBOX VIỆT NAM,"số 7, ngõ 37, phốtây kết, Phường Bạch Đằng, Quận Hai Bà Trưng, Thành phố Hà Nội","Khay giấy NCS, hộp giấy nắp liền NCS",20.09.100.22762,,30-09-2020,
36089,CÔNG TY TNHH NGUYÊN LIỆU DƯỢC PHẨM BIG HERBALIFE,"Tầng 3, số 39 phố Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Thành phố Hà Nội",Cao khô Đỏ Ngọn (Cratoxylon prunifolium Dyer Extract),20.09.100.22761,,20-10-2020,Công ty có công văn xin hủy hồ sơ số 512/2025/CB-BHL ngày 08/12/2025
36090,CÔNG TY TNHH SAKURA PHARMA,"Thôn Khánh Vân, Xã Khánh Hà, Huyện Thường Tín, Thành phố Hà Nội",Detoxeret chokolade,20.09.100.22759,,29-09-2020,
36091,Công ty TNHH Medistar Việt Nam,"Tổ dân phố Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội",Nguyên liệu thực phẩm Estro8PN®,20.09.100.22758,,29-09-2020,
36094,CÔNG TY TNHH TAEJEON VINA,"18 bis/3d nguyễn thị minh khai, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh",LEMONA SAN –VITAMIN TƯƠI TRẺ,20.09.100.22754,,29-09-2020,
36097,Công ty Cổ phần Công nghệ Dược phẩm NAFACO,"số 57 đường lạc long quân, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",Sản phẩm dinh dưỡng cho người trên 3 tuổi NOVAMIL CARE,20.09.100.22751,,28-09-2020,công văn xin thu hồi số 06/2025/CV-NFC ngày 26/11/2025
36098,Công ty Cổ phần đầu tư kinh doanh GHBC,"j03-l03 shop villa, đường an phú, , Quận Hà Đông, Thành phố Hà Nội",Găng tay nilon Pindoctor (Gloves Clean),20.09.100.22750,,29-09-2020,
