Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CHI NHÁNH CÔNG TY TNHH HẠNH LONG,0305298285-002,Mã số thuế: 0305298285-002,"114 Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN EVER GROW VIỆT NAM,0105820056,Mã số thuế: 0105820056,"Số 27, ngõ 115, phố Núi Trúc, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ KHÁNH LAN,0102098033,Mã số thuế: 0102098033,"Số 101 phố Trúc Bạch, Phường Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH MAXIWELL,0311519380,Mã số thuế: 0311519380,"638/10 Lê Hồng Phong, Phường 10, Quận 10, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH TRANG TRÍ NỘI THẤT VIỆT GIA,0303798451,Mã số thuế: 0303798451,"29/7B Quang Trung, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH HÀ NAM - CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TỔNG HỢP VIỆT MY,0302859750-021,Mã số thuế: 0302859750-021,"Đường Trần Quang Khải, Tổ 14, Phường Lê Hồng Phong, Thành phố Phủ Lý, Tỉnh Hà Nam, Việt Nam"
CHI NHÁNH PHÚ YÊN - CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TỔNG HỢP VIỆT MY,0302859750-019,Mã số thuế: 0302859750-019,"Số 06B Lý Tự Trọng, Phường 7, TP Tuy Hoà, Tỉnh Phú Yên, Việt Nam"
CHI NHÁNH HẢI PHÒNG - CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TỔNG HỢP VIỆT MY,0302859750-030,Mã số thuế: 0302859750-030,"Km 92, quốc lộ 5, Phường Hùng Vương, Quận Hồng Bàng, Thành phố Hải Phòng, Việt Nam"
CHI NHÁNH NGHỆ AN - CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TỔNG HỢP VIỆT MY,0302859750-025,Mã số thuế: 0302859750-025,"Đường số 2, Lô 13, Khu công nghiệp Hưng Lộc, Xã Hưng Lộc, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI NHẤT PHÁT - KHO CHỨA HÀNG,0310708152-003,Mã số thuế: 0310708152-003,"21G4 Đường 53, Khu Dân cư Tân Quy Đông, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI A NAM TẠI HẢI PHÒNG,0302267627-008,Mã số thuế: 0302267627-008,"L2-02 Tầng 2 TTTM Vincom Hải Phòng, Số 1 Lê Thánh Tông, Phường Máy Tơ, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI A NAM TẠI THÀNH PHỐ CẦN THƠ,0302267627-004,Mã số thuế: 0302267627-004,"L2-12 Tầng 2 Trung tâm thương mại Vincom Hùng Vương, số 02 Hùng Vương, Phường Thới Bình, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam"
CHI NHÁNH 02 - CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU ĐỨC HUY,0310801828-002,Mã số thuế: 0310801828-002,"40-42 Đường số 5, Phường An Phú, Quận 2, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ CAO ATS DIGITAL,0310410743-002,Mã số thuế: 0310410743-002,"101/2 Tổ 2, Ấp 6, Xã Xuân Thới Sơn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH 2 - CÔNG TY TNHH MỘT THÀNH VIÊN GIẤY THU VIỆT,0309267009-002,Mã số thuế: 0309267009-002,"138 Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH KINH DOANH VẬT LIỆU XÂY DỰNG THÁI SƠN,0310906450,Mã số thuế: 0310906450,"411 Tân Sơn, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH 1 - CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - ĐẦU TƯ TÂN HOÀNG MINH,3702948376-001,Mã số thuế: 3702948376-001,"Số 39 đường số 11, Khu phố 1, Phường Hoà Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ AN HUY - KHO CHỨA HÀNG,0301483015-002,Mã số thuế: 0301483015-002,"299/22 Lý Thường Kiệt, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI HOÀNG CƯƠNG,0303485730-003,Mã số thuế: 0303485730-003,"1231 Tỉnh Lộ 10, Khu phố 9, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN THỦY TIÊN,0302029887-003,Mã số thuế: 0302029887-003,"267 Bạch Đằng, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM HOÀNG NAM,0305481851,Mã số thuế: 0305481851,"79 Đỗ Công Tường, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH 4 - CÔNG TY TNHH MỸ PHẨM NHẬT VY,0305614420-003,Mã số thuế: 0305614420-003,"89 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TRANG TRÍ NỘI THẤT HOÀNG GIA,0310473510-002,Mã số thuế: 0310473510-002,"144 Trương Công Định, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
