Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CÔNG TY TNHH THƯƠNG MẠI SHB LIGHTING HÀ TĨNH,3002032644,Mã số thuế: 3002032644,"Quốc lộ 1A, xóm Thanh Phú, Xã Thạch Trung, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ HỒNG NHÀN,0201795010,Mã số thuế: 0201795010,"Thôn 3 (tại nhà bà Nguyễn Thị Trang), Xã Tân Dương, Huyện Thuỷ Nguyên, Thành phố Hải Phòng, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU A NAM,0201731962,Mã số thuế: 0201731962,"Thôn Trại Kênh (tại nhà ông Tô Công Định), Xã Kênh Giang, Huyện Thuỷ Nguyên, Thành phố Hải Phòng, Việt Nam"
CÔNG TY TNHH MTV MÔI TRƯỜNG ÁNH SÁNG ĐÔ THỊ,6300285325,Mã số thuế: 6300285325,"Số 25.27, đường Nguyễn Văn Trỗi, khu vực 1, Phường III, Thành phố Vị Thanh, Tỉnh Hậu Giang, Việt Nam"
CÔNG TY TNHH LUMI LIGHTING - CHI NHÁNH HƯNG YÊN,0110073988-001,Mã số thuế: 0110073988-001,"Đường 382, thôn Xuân Lai, Xã Minh Châu, Huyện Yên Mỹ, Tỉnh Hưng Yên, Việt Nam"
CÔNG TY TNHH G-ONE VINA,0900995171,Mã số thuế: 0900995171,"Khu Công nghiệp Minh Đức, Xã Minh Đức, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam"
CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ THÔNG MINH NAM VIỆT,0317573088,Mã số thuế: 0317573088,"Số 55/16, Đường Tân Chánh Hiệp 17, Khu phố 9, Phường Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH ÁNH SÁNG SẮC VIỆT,0900988167-001,Mã số thuế: 0900988167-001,"50/41/24 Nguyễn Qúy Yêm, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ NAYOU,4401023178,Mã số thuế: 4401023178,"Số 173 đường Tân Trào, Xã Bình Kiến, TP Tuy Hoà, Tỉnh Phú Yên, Việt Nam"
CÔNG TY TNHH PHA LÊ HẠ LONG,5701887406,Mã số thuế: 5701887406,"Số 343, phố Lê Thánh Tông, Phường Bạch Đằng, Thành phố Hạ Long, Tỉnh Quảng Ninh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT ĐIỆN DƯƠNG ĐÀO,1001111064,Mã số thuế: 1001111064,"Nhà ông Dương, thôn Đồng Đức, Xã Phúc Thành, Huyện Vũ Thư, Tỉnh Thái Bình, Việt Nam"
CÔNG TY TNHH HIẾU PHÚ QUÝ,1001110631,Mã số thuế: 1001110631,"Số nhà 4B/25, ngõ 78, đường Hoàng Văn Thái, tổ 14, Phường Trần Lãm, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam"
CÔNG TY TNHH ĐIỆN TỬ HOA MAI,1001096440,Mã số thuế: 1001096440,"Nhà bà Mai, xóm 5 Tây Thuộc Liệt, Xã Đông Tân, Huyện Đông Hưng, Tỉnh Thái Bình, Việt Nam"
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI VIETLIGHT,4601351867,Mã số thuế: 4601351867,"Tổ 10, Phường Túc Duyên, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam"
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI VIVADI,2802454410,Mã số thuế: 2802454410,"Lô 199, Đông Phát, Phường Đông Vệ, Thành phố Thanh Hoá, Tỉnh Thanh Hoá, Việt Nam"
CÔNG TY TNHH BS HIGH TECH,0315492193,Mã số thuế: 0315492193,"Lầu 2, Số 42 Mê Linh, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN HDLIGHT,0313679100,Mã số thuế: 0313679100,"Lầu 3, Tòa Nhà Tân Đại Nam, Số 98 Thích Quảng Đức, Phường 05, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam"
