Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CÔNG TY CỔ PHẦN CƠ KHÍ CHIẾU SÁNG SÀI GÒN,0313035201,Mã số thuế: 0313035201,"3/24 Đường Bình Giã, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH DAWON ENERGY KOREA,0313766508,Mã số thuế: 0313766508,"Số A1.0506, Tầng 5, The Gold View, 346 Bến Vân Đồn, Phường 01, Quận 4, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN ÁNH SÁNG ĐA SẮC,0311921691,Mã số thuế: 0311921691,"2/2/86 Lê Thúc Hoạch, Phường Phú Thọ Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI NGỌC KHÁNH LINH,2500569084,Mã số thuế: 2500569084,"Khu 02, Xã Thổ Tang, Tỉnh Phú Thọ, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI ĐIỆN VIỆT NAM,0312791413-001,Mã số thuế: 0312791413-001,"54 Đường 1B, Khu Dân Cư Lý Chiêu Hoàng, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN ROBOLED,0314190111-002,Mã số thuế: 0314190111-002,"754/19 Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THIẾT BỊ ĐIỆN KIM PHÁT,0313210069-001,Mã số thuế: 0313210069-001,"66 Gò Dầu, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH SỐ 01 CÔNG TY CỔ PHẦN CƠ KHÍ CHIẾU SÁNG SÀI GÒN,0313035201-001,Mã số thuế: 0313035201-001,"Số 95/1 Đường Thanh Niên, Khu Phố Tân Phú 1, Phường Tân Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY CỔ PHẦN STAR DRONE,0107819271,Mã số thuế: 0107819271,"Số 15, ngách 2, ngõ 113, tổ 5 Bằng B, Phường Hoàng Liệt, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH GIẢI PHÁP ÁNH SÁNG TOÀN CẦU,0107875565,Mã số thuế: 0107875565,"Số 198 Đường Hữu Hưng,  Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH ĐIỆN TỬ T-SKY,2301128293,Mã số thuế: 2301128293,"Lô số 5, Khu công nghiệp Tân Hồng – Hoàn Sơn, Phường Tân Hồng, Thị xã Từ Sơn, Tỉnh Bắc Ninh, Việt Nam"
XƯỞNG SẢN XUẤT GIA CÔNG ÁNH DƯƠNG - CÔNG TY CỔ PHẦN ÁNH DƯƠNG,3800377674-001,Mã số thuế: 3800377674-001,"Lô 33, đường số 7, Xã  Tam Phước, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THIẾT BỊ ĐIỆN VÀ CHIẾU SÁNG ĐẠI DƯƠNG,2300979830,Mã số thuế: 2300979830,"NR Ông Nguyễn Duy Hinh, thôn Đường, Xã An Bình, Huyện Thuận Thành, Tỉnh Bắc Ninh, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC YIN XIN VIỆT NAM,0201920078,Mã số thuế: 0201920078,"Lô CN4B, Khu công nghiệp Deep C 2B, Khu kinh tế Đình Vũ - Cát Hải, Phường Đông Hải 2, Quận Hải An, Thành phố Hải Phòng, Việt Nam"
CÔNG TY TNHH PHÚ KIM VINA,3702658003,Mã số thuế: 3702658003,"Số 01/26 khu phố Bình Thuận 2, Phường Thuận Giao, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH DVTM PHÚC AN,2802549983,Mã số thuế: 2802549983,"Thôn Hợp Thành, Xã Thành Hưng, Huyện Thạch Thành, Tỉnh Thanh Hoá, Việt Nam"
CÔNG TY TNHH KTCN NHẬT BẢN,0107737050,Mã số thuế: 0107737050,"Số 183 đường K2, Phường Cầu Diễn, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN CÔNG NGHỆ EVINF HOÀNG ANH,0108583734,Mã số thuế: 0108583734,"Thôn Hà Lâm 3, Xã Thuỵ Lâm, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH FORCM VINA,3702691201,Mã số thuế: 3702691201,"Lô P5 Khu Công Nghiệp Việt Hương, Phường Thuận Giao, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam"
"CÔNG TY TNHH SẢN XUẤT, THƯƠNG MẠI VÀ DỊCH VỤ HÒA CHÂU",2400857071,Mã số thuế: 2400857071,"Xóm Nguộn, thôn Hùng Lãm, Xã Hồng Thái, Huyện Việt Yên, Tỉnh Bắc Giang, Việt Nam"
CÔNG TY CỔ PHẦN QUỐC TẾ APOLLO STAR,0108583935,Mã số thuế: 0108583935,"Tầng 5, Số 15 Q39 Ngõ 160 Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THIẾT BỊ ĐIỆN OSAWOA,3603622422,Mã số thuế: 3603622422,"Số 1441, Tổ 29,  Khu Phố Vườn Dừa, Phường Phước Tân, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY CỔ PHẦN PFG,0315506343,Mã số thuế: 0315506343,"44 Đường 215, Phường Tân Phú, Quận 9, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HỒNG NHẬT - LONG AN,1101868002,Mã số thuế: 1101868002,"Thửa số 1555, 1531, Ấp Lộc Tiền , Xã Mỹ Lộc, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam"
CÔNG TY TNHH MARISOL,3502354583,Mã số thuế: 3502354583,"Số 283 Nguyễn Hữu Cảnh, Phường Thắng Nhất, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam"
